"id","santillanaId","userName","email","firstName","lastName","roleId","leaderId","createdAt","updatedAt","countryId","contractType","phone","status","knowledgeArea"
"52b0bd89-a697-4ba9-81c6-c39d03338ce4","00000000-0000-0000-0000-000000693122","admin@sumuncrm.com","admin@sumuncrm.com","Admin","Sistema","f2319490-cd4b-42e1-aa96-8c7c0207e86a","","2025-12-16T20:44:49.748Z","2025-12-16T20:44:49.748Z","","","","ACTIVE",""
"0ef85b1a-02fa-42f9-ba5e-e034b09601c3","00000000-0000-0000-0000-000000691186","breismanC","breisman@somosgentedigital.com","Breisman","Chalaca","f2319490-cd4b-42e1-aa96-8c7c0207e86a","","2025-12-16T20:44:49.748Z","2025-12-16T20:44:49.748Z","","","","ACTIVE","MATHEMATICS"
"a1e1b2c3-d4e5-4f6g-h7i8-j9k0l1m2n3o4","035ba58f-23d1-42be-a843-81c452b954d4","admin_1","admin1@example.com","Admin","Uno","f2319490-cd4b-42e1-aa96-8c7c0207e86a","","2025-12-30T21:31:09.361Z","2025-12-30T21:31:09.361Z","","Full-time","123456789","ACTIVE",""
"b2e2b2c3-d4e5-4f6g-h7i8-j9k0l1m2n3o5","b49aafed-7dd9-409c-a85f-65134d63c185","admin_2","admin2@example.com","Admin","Dos","f2319490-cd4b-42e1-aa96-8c7c0207e86a","","2025-12-30T21:31:09.361Z","2025-12-30T21:31:09.361Z","","Full-time","987654321","ACTIVE",""
"c3e3b2c3-d4e5-4f6g-h7i8-j9k0l1m2n3o6","d3a30d97-c888-40e2-a624-5fe7ae801215","csm_1","csm1@example.com","Carlos","Méndez","fdec2d66-6c18-4022-9b05-0822ebfce381","","2025-12-30T21:31:09.361Z","2025-12-30T21:31:09.361Z","","Contractor","555111222","ACTIVE",""
"d4e4b2c3-d4e5-4f6g-h7i8-j9k0l1m2n3o7","8c9ac8b8-847b-4259-b62f-147c3295eebc","csm_2","csm2@example.com","Clara","Soto","fdec2d66-6c18-4022-9b05-0822ebfce381","","2025-12-30T21:31:09.361Z","2025-12-30T21:31:09.361Z","","Contractor","555333444","ACTIVE",""
"e5e5b2c3-d4e5-4f6g-h7i8-j9k0l1m2n3o8","8feb8f3b-cf90-4426-bcef-7c31497c17c3","csl_1","csl1@example.com","Camilo","López","c33d1f3a-1d91-44ad-94fa-d26637fbb3a8","","2025-12-30T21:31:09.361Z","2025-12-30T21:31:09.361Z","","Full-time","555000999","ACTIVE",""
"8g8e8b2c-d4e5-4f6g-h7i8-j9k0l1m2n311","8d0b858e-52c3-489b-aee9-f0e53113d71d","mentor_2","mentor2@example.com","Marta","Ríos","857ae666-c43d-41d9-8d13-76755910e352","","2025-12-30T21:31:09.361Z","2025-12-30T21:31:09.361Z","","Freelance","555654321","ACTIVE",""
"9h9e9b2c-d4e5-4f6g-h7i8-j9k0l1m2n312","b53c6e6f-1ae4-4ac4-9251-cb3ad869287b","expert_math","expert1@example.com","Elena","Xavier","41785589-5ce2-40ba-973d-941bf2317d98","","2025-12-30T21:31:09.361Z","2025-12-30T21:31:09.361Z","","Full-time","555999000","ACTIVE","MATHEMATICS"
"0i0e0b2c-d4e5-4f6g-h7i8-j9k0l1m2n313","82845eb6-562d-4fe6-b300-5ec94e55f3dc","expert_science","expert2@example.com","Enrique","Ximénez","41785589-5ce2-40ba-973d-941bf2317d98","","2025-12-30T21:31:09.361Z","2025-12-30T21:31:09.361Z","","Full-time","555111000","ACTIVE","NATURAL_SCIENCES"
"1j1e1b2c-d4e5-4f6g-h7i8-j9k0l1m2n314","79db25f7-ce5d-4422-a5e9-2980ec53e1c8","it_1","it1@example.com","Ian","Torres","e4cf1140-2baa-4e9b-abce-8ad0616ef5e2","","2025-12-30T21:31:09.361Z","2025-12-30T21:31:09.361Z","","Full-time","555444555","ACTIVE",""
"2c3a4857-0533-41fd-a2c6-7fc4bdcccd7e","00000000-0000-0000-0000-000000691196","ricardoG","ricardo@somosgentedigital.com","Ricardo","Giraldo","fdec2d66-6c18-4022-9b05-0822ebfce381","52b0bd89-a697-4ba9-81c6-c39d03338ce4","2025-12-30T22:38:25.26Z","2025-12-30T22:38:25.26Z","","","3000000000","ACTIVE",""
"7f7e7b2c-d4e5-4f6g-h7i8-j9k0l1m2n310","68a6a28e-192d-43a5-a0d6-b76ca6a8f186","mentor_1","mentor1@example.com","Mario","Entenza","857ae666-c43d-41d9-8d13-76755910e352","e5e5b2c3-d4e5-4f6g-h7i8-j9k0l1m2n3o8","2025-12-30T21:31:09.361Z","2026-01-02T18:14:37.42Z","","Freelance","555123456","ACTIVE",""
"2k2e2b2c-d4e5-4f6g-h7i8-j9k0l1m2n315","090258d5-2af0-4330-9cf0-e85c3f7e72c7","it_2","it2@example.com","Irene ACTUALIZADO","Tello","e4cf1140-2baa-4e9b-abce-8ad0616ef5e2","7f7e7b2c-d4e5-4f6g-h7i8-j9k0l1m2n310","2025-12-30T21:31:09.361Z","2026-01-02T18:17:57.512Z","","Full-time","555666777","ACTIVE",""
"f6e6b2c3-d4e5-4f6g-h7i8-j9k0l1m2n3o9","6ec64923-9999-499f-893d-4d4154bd5330","csl_2","csl2@example.com","Catalina","Luna","c33d1f3a-1d91-44ad-94fa-d26637fbb3a8","2c3a4857-0533-41fd-a2c6-7fc4bdcccd7e","2025-12-30T21:31:09.361Z","2026-01-02T19:33:41.409Z","","Full-time","555888777","ACTIVE",""
